area_associata,Year,frequency_PM10,exposure_PM10,intensity_PM10
ALBAIRATE,2016,48,1.519,72.9
ARCONATE,2016,44,1.587,69.843
ARESE,2016,44,2.219,97.651
ARLUNO,2016,47,1.636,76.89
ASSAGO,2016,50,1.53,76.509
BARANZATE,2016,45,1.987,89.397
BAREGGIO,2016,47,1.706,80.173
BASIANO,2016,42,1.327,55.75
BASIGLIO,2016,49,1.587,77.745
BELLINZAGO LOMBARDO,2016,48,1.231,59.108
BERNATE TICINO,2016,45,1.587,71.417
BESATE,2016,47,1.625,76.378
BINASCO,2016,49,1.62,79.371
BOFFALORA SOPRA TICINO,2016,48,1.467,70.431
BOLLATE,2016,45,1.997,89.88
BRESSO,2016,50,1.639,81.941
BUBBIANO,2016,48,1.604,76.986
BUCCINASCO,2016,50,1.545,77.272
BUSCATE,2016,39,1.55,60.444
BUSSERO,2016,48,1.539,73.889
BUSTO GAROLFO,2016,45,1.647,74.124
CALVIGNASCO,2016,48,1.612,77.366
CAMBIAGO,2016,42,1.445,60.696
CANEGRATE,2016,45,1.707,76.805
CARPIANO,2016,50,1.561,78.061
CARUGATE,2016,48,1.564,75.087
CASARILE,2016,49,1.616,79.189
CASOREZZO,2016,46,1.635,75.201
CASSANO D`ADDA,2016,50,1.107,55.367
CASSINA DE PECCHI,2016,48,1.57,75.35
CASSINETTA DI LUGAGNANO,2016,48,1.501,72.053
CASTANO PRIMO,2016,38,1.556,59.119
CERNUSCO SUL NAVIGLIO,2016,48,1.599,76.774
CERRO AL LAMBRO,2016,50,1.554,77.676
CERRO MAGGIORE,2016,46,1.707,78.535
CESANO BOSCONE,2016,49,1.63,79.862
CESATE,2016,45,1.893,85.2
CINISELLO BALSAMO,2016,50,1.641,82.036
CISLIANO,2016,47,1.663,78.172
COLOGNO MONZESE,2016,49,1.672,81.943
COLTURANO,2016,50,1.558,77.911
CORBETTA,2016,48,1.512,72.564
CORMANO,2016,49,1.741,85.293
CORNAREDO,2016,46,1.776,81.691
CORSICO,2016,49,1.577,77.259
CUGGIONO,2016,39,1.553,60.551
CUSAGO,2016,47,1.712,80.461
CUSANO MILANINO,2016,50,1.667,83.362
DAIRAGO,2016,45,1.607,72.332
DRESANO,2016,50,1.549,77.474
GAGGIANO,2016,48,1.639,78.679
GARBAGNATE MILANESE,2016,45,2.05,92.234
GESSATE,2016,45,1.347,60.619
GORGONZOLA,2016,48,1.413,67.815
GREZZAGO,2016,38,1.241,47.162
GUDO VISCONTI,2016,48,1.603,76.922
INVERUNO,2016,45,1.621,72.939
INZAGO,2016,50,1.109,55.471
LACCHIARELLA,2016,49,1.63,79.852
LAINATE,2016,45,1.928,86.782
LEGNANO,2016,45,1.695,76.254
LISCATE,2016,49,1.515,74.241
LOCATE DI TRIULZI,2016,50,1.557,77.843
MAGENTA,2016,48,1.524,73.13
MAGNAGO,2016,39,1.588,61.932
MARCALLO CON CASONE,2016,48,1.487,71.372
MASATE,2016,42,1.396,58.653
MEDIGLIA,2016,48,1.613,77.437
MELEGNANO,2016,50,1.557,77.829
MELZO,2016,51,1.378,70.253
MESERO,2016,46,1.555,71.532
MORIMONDO,2016,47,1.612,75.786
MOTTA VISCONTI,2016,47,1.633,76.728
MUNICIPIO_1,2016,51,1.49,75.978
MUNICIPIO_2,2016,51,1.636,83.457
MUNICIPIO_3,2016,51,1.8,91.806
MUNICIPIO_4,2016,52,1.535,79.822
MUNICIPIO_5,2016,51,1.478,75.359
MUNICIPIO_6,2016,50,1.493,74.645
MUNICIPIO_7,2016,50,1.533,76.675
MUNICIPIO_8,2016,49,1.597,78.262
MUNICIPIO_9,2016,51,1.578,80.486
NERVIANO,2016,46,1.732,79.656
NOSATE,2016,37,1.51,55.882
NOVATE MILANESE,2016,45,1.843,82.922
NOVIGLIO,2016,48,1.631,78.295
OPERA,2016,51,1.531,78.085
OSSONA,2016,47,1.559,73.264
OZZERO,2016,47,1.582,74.34
PADERNO DUGNANO,2016,46,1.794,82.526
PANTIGLIATE,2016,48,1.598,76.713
PARABIAGO,2016,46,1.692,77.829
PAULLO,2016,49,1.549,75.923
PERO,2016,45,1.948,87.672
PESCHIERA BORROMEO,2016,48,1.624,77.933
PESSANO CON BORNAGO,2016,47,1.455,68.381
PIEVE EMANUELE,2016,50,1.56,78.002
PIOLTELLO,2016,47,1.612,75.774
POGLIANO MILANESE,2016,45,1.778,80.008
POZZO D`ADDA,2016,42,1.372,57.633
POZZUOLO MARTESANA,2016,50,1.185,59.249
PREGNANA MILANESE,2016,46,1.764,81.127
RESCALDINA,2016,46,1.702,78.287
RHO,2016,45,2.04,91.82
ROBECCHETTO CON INDUNO,2016,38,1.519,57.723
ROBECCO SUL NAVIGLIO,2016,48,1.494,71.709
RODANO,2016,48,1.559,74.817
ROSATE,2016,48,1.614,77.457
ROZZANO,2016,50,1.539,76.938
SAN DONATO MILANESE,2016,50,1.572,78.622
SAN GIORGIO SU LEGNANO,2016,45,1.69,76.054
SAN GIULIANO MILANESE,2016,51,1.548,78.951
SAN VITTORE OLONA,2016,46,1.687,77.611
SAN ZENONE AL LAMBRO,2016,50,1.543,77.169
SANTO STEFANO TICINO,2016,48,1.516,72.758
SEDRIANO,2016,47,1.666,78.283
SEGRATE,2016,49,1.651,80.906
SENAGO,2016,45,1.882,84.69
SESTO SAN GIOVANNI,2016,49,1.672,81.906
SETTALA,2016,48,1.585,76.065
SETTIMO MILANESE,2016,46,1.789,82.283
SOLARO,2016,45,1.806,81.283
TREZZANO ROSA,2016,40,1.337,53.494
TREZZANO SUL NAVIGLIO,2016,49,1.647,80.695
TREZZO SULL`ADDA,2016,37,1.271,47.022
TRIBIANO,2016,48,1.59,76.337
TRUCCAZZANO,2016,50,1.213,60.656
TURBIGO,2016,37,1.449,53.615
VANZAGHELLO,2016,39,1.56,60.857
VANZAGO,2016,46,1.742,80.135
VAPRIO D`ADDA,2016,40,1.361,54.456
VERMEZZO CON ZELO,2016,48,1.581,75.904
VERNATE,2016,48,1.621,77.786
VIGNATE,2016,48,1.565,75.11
VILLA CORTESE,2016,45,1.651,74.316
VIMODRONE,2016,49,1.667,81.681
VITTUONE,2016,47,1.64,77.072
VIZZOLO PREDABISSI,2016,50,1.551,77.535
ZIBIDO SAN GIACOMO,2016,49,1.619,79.312
