age_group,Comune,Sesso,Popolazione,Year
Middle-age,Settimo Milanese,Femmine,5330,2011
Middle-age,Settimo Milanese,Maschi,5138,2011
Middle-age,Solaro,Femmine,3688,2011
Middle-age,Solaro,Maschi,3742,2011
Middle-age,Trezzano Rosa,Femmine,1309,2011
Middle-age,Trezzano Rosa,Maschi,1308,2011
Middle-age,Trezzano sul Naviglio,Femmine,5217,2011
Middle-age,Trezzano sul Naviglio,Maschi,5051,2011
Middle-age,Trezzo sull'Adda,Femmine,3085,2011
Middle-age,Trezzo sull'Adda,Maschi,3041,2011
Middle-age,Tribiano,Femmine,918,2011
Middle-age,Tribiano,Maschi,941,2011
Middle-age,Truccazzano,Femmine,1551,2011
Middle-age,Truccazzano,Maschi,1717,2011
Middle-age,Turbigo,Femmine,1822,2011
Middle-age,Turbigo,Maschi,1873,2011
Middle-age,Vanzaghello,Femmine,1380,2011
Middle-age,Vanzaghello,Maschi,1364,2011
Middle-age,Vanzago,Femmine,2395,2011
Middle-age,Vanzago,Maschi,2408,2011
Middle-age,Vaprio d'Adda,Femmine,2013,2011
Middle-age,Vaprio d'Adda,Maschi,2159,2011
Middle-age,Vermezzo con Zelo,Femmine,1403,2011
Middle-age,Vermezzo con Zelo,Maschi,1380,2011
Middle-age,Vernate,Femmine,866,2011
Middle-age,Vernate,Maschi,920,2011
Middle-age,Vignate,Femmine,2435,2011
Middle-age,Vignate,Maschi,2402,2011
Middle-age,Villa Cortese,Femmine,1621,2011
Middle-age,Villa Cortese,Maschi,1637,2011
Middle-age,Vimodrone,Femmine,4398,2011
Middle-age,Vimodrone,Maschi,4320,2011
Middle-age,Vittuone,Femmine,2369,2011
Middle-age,Vittuone,Maschi,2373,2011
Middle-age,Vizzolo Predabissi,Femmine,1103,2011
Middle-age,Vizzolo Predabissi,Maschi,1050,2011
Middle-age,Zibido San Giacomo,Femmine,1806,2011
Middle-age,Zibido San Giacomo,Maschi,1797,2011
Old,Abbiategrasso,Femmine,3908,2011
Old,Abbiategrasso,Maschi,2616,2011
Old,Albairate,Femmine,450,2011
Old,Albairate,Maschi,322,2011
Old,Arconate,Femmine,592,2011
Old,Arconate,Maschi,421,2011
Old,Arese,Femmine,2178,2011
Old,Arese,Maschi,1978,2011
Old,Arluno,Femmine,1246,2011
Old,Arluno,Maschi,874,2011
Old,Assago,Femmine,602,2011
Old,Assago,Maschi,527,2011
Old,Baranzate,Femmine,1038,2011
Old,Baranzate,Maschi,815,2011
Old,Bareggio,Femmine,1766,2011
Old,Bareggio,Maschi,1371,2011
Old,Basiano,Femmine,302,2011
Old,Basiano,Maschi,248,2011
Old,Basiglio,Femmine,538,2011
Old,Basiglio,Maschi,518,2011
Old,Bellinzago Lombardo,Femmine,382,2011
Old,Bellinzago Lombardo,Maschi,291,2011
Old,Bernate Ticino,Femmine,353,2011
Old,Bernate Ticino,Maschi,263,2011
Old,Besate,Femmine,209,2011
Old,Besate,Maschi,156,2011
Old,Binasco,Femmine,926,2011
Old,Binasco,Maschi,650,2011
Old,Boffalora sopra Ticino,Femmine,470,2011
Old,Boffalora sopra Ticino,Maschi,355,2011
Old,Bollate,Femmine,4242,2011
Old,Bollate,Maschi,3163,2011
Old,Bresso,Femmine,3921,2011
Old,Bresso,Maschi,2937,2011
Old,Bubbiano,Femmine,133,2011
Old,Bubbiano,Maschi,121,2011
Old,Buccinasco,Femmine,2071,2011
Old,Buccinasco,Maschi,1802,2011
Old,Buscate,Femmine,540,2011
Old,Buscate,Maschi,376,2011
Old,Bussero,Femmine,831,2011
Old,Bussero,Maschi,633,2011
Old,Busto Garolfo,Femmine,1518,2011
Old,Busto Garolfo,Maschi,1056,2011
Old,Calvignasco,Femmine,75,2011
Old,Calvignasco,Maschi,68,2011
Old,Cambiago,Femmine,512,2011
Old,Cambiago,Maschi,412,2011
Old,Canegrate,Femmine,1473,2011
Old,Canegrate,Maschi,1117,2011
Old,Carpiano,Femmine,249,2011
Old,Carpiano,Maschi,209,2011
Old,Carugate,Femmine,1316,2011
Old,Carugate,Maschi,993,2011
Old,Casarile,Femmine,279,2011
Old,Casarile,Maschi,239,2011
Old,Casorezzo,Femmine,500,2011
Old,Casorezzo,Maschi,374,2011
Old,Cassano d'Adda,Femmine,2107,2011
Old,Cassano d'Adda,Maschi,1474,2011
Old,Cassina de' Pecchi,Femmine,1389,2011
Old,Cassina de' Pecchi,Maschi,1117,2011
Old,Cassinetta di Lugagnano,Femmine,166,2011
Old,Cassinetta di Lugagnano,Maschi,126,2011
Old,Castano Primo,Femmine,1353,2011
Old,Castano Primo,Maschi,877,2011
Old,Cernusco sul Naviglio,Femmine,3713,2011
Old,Cernusco sul Naviglio,Maschi,2684,2011
Old,Cerro Maggiore,Femmine,1774,2011
Old,Cerro Maggiore,Maschi,1193,2011
Old,Cerro al Lambro,Femmine,422,2011
Old,Cerro al Lambro,Maschi,402,2011
Old,Cesano Boscone,Femmine,2584,2011
